brand,model,years,curb_weight_kg,notes
"BAIC","BJ40 (дизель)","2025–наст.","2250","Рамный внедорожник, 2.0D (163 л.с.), полный привод"
"BAIC","BJ40e EREV","2025–наст.","2640","Гибридный внедорожник, 540 л.с., запас хода 1200 км"
"BAIC","Beijing BJ60","2022–наст.","2250","Среднеразмерный рамный внедорожник, 2.0D (163 л.с.)"
"BAIC","Beijing BJ80","2016–наст.","2285","Полноразмерный рамный внедорожник, 3.0T V6 (276 л.с.)"
"BAIC","U5 Plus","2023–наст.","1240","Компактный седан, 1.5L (113 л.с.), вариатор"
"BAIC","D70","2015–наст.","1590","Бизнес-седан, 1.8T"
"BAIC","Arcfox-1 / Lite","2017–2020","890","Городской электромобиль-родстер, запас хода 200 км"
"BAIC","Arcfox T1","2025–наст.","1450","Электрический хетчбек, запас хода 425 км"
"BAIC","Arcfox Alpha S5","2024–наст.","1920","Электрический седан-фастбек, базовая версия"
"BAIC","Arcfox Alpha S","2021–наст.","1900","Электрический лифтбек Е-класса, базовая версия"
"BAIC","Arcfox Alpha T","2021–наст.","1935","Электрический кроссовер, базовая версия"
"BAIC","Arcfox S3","2025–наст.","1630","Электрический седан среднего класса, запас хода до 650 км"
"BAIC","Arcfox V9","2026–наст.","2580","Премиальный гибридный минивэн"
"Baojun","E100","2017–2021","840–920","Городской электромобиль (city car). Снаряженная масса по разным источникам от 750 до 920 кг."
"Baojun","E200","2018–2021","830–860","Электромобиль, похожий на E100, масса зависит от версии."
"Baojun","E300 / KiWi EV","2020–наст.","920–1,052","Футуристичный микрокар. Масса ранних версий от 920 кг, версия DJI — 1,052 кг."
"Baojun","Yep (3-дверный)","2023–наст.","1,006","Кроссовер А-класса, запас хода 303 км."
"Baojun","Yep Plus (5-дверный)","2024–наст.","1,325","Удлиненная версия Yep."
"Baojun","Cloud / Yunduo (360)","2023–наст.","1,495","Электромобиль С-класса, батарея 37.9 кВт·ч, запас хода 360 км."
"Baojun","Cloud / Yunduo (460)","2023–наст.","1,615","Электромобиль С-класса, батарея 50.6 кВт·ч, запас хода 460 км."
"Baojun","Yunhai EV (500 км)","2024–наст.","1,645–1,700","Электрический кроссовер, запас хода 500 км."
"Baojun","Yunhai EV (600 км)","2024–наст.","1,675–1,760","Электрический кроссовер, запас хода 600 км."
"Baojun","Yunhai PHEV","2024–наст.","1,700–1,760","Подключаемый гибрид."
"Baojun","Xiangjing EV","2024–наст.","1,905","Электрический бизнес-седан D-класса."
"Baojun","Xiangjing PHEV","2024–наст.","1,840","Гибридный бизнес-седан D-класса."
"Baojun","310","2016–2019","935–1,055","Компактный хэтчбек."
"Baojun","310W","2017–2021","1,110–1,240","Универсал на базе 310."
"Baojun","360","2018–2021","1,321–1,400","Компактный 6-местный минивэн."
"Baojun","510","2017–2019","1,206–1,290","Компактный кроссовер."
"Baojun","530","2018–2019","1,435–1,720","Кроссовер С-класса."
"Baojun","630","2011–2016","1,206","Седан, первая модель бренда."
"Baojun","730","2014–2017","1,340–1,564","Семиместный минивэн."
"Baojun","RC-5","2020–2021","1,250–1,410","Лифтбек С-класса."
"Baojun","RM-5","2019–2021","1,470–1,541","Кроссовер-минивэн."
"Baojun","RS-3","2019–2021","1,218–1,355","Кроссовер, преемник 510."
